"RPKM","0h","30m","1h","2h","4h","6h","12h","24h"
"Cre38.g759997",1.7259927033871,2.00445520719435,2.07901953536301,1.64998812700938,2.45619262711291,2.209880723185,2.50417531502664,2.51427555666897
"Cre08.g358100",6.79548058608274,6.33398103901077,7.40795376329501,7.63333344448337,14.2007142007324,13.4368408170001,10.3325280248136,3.93044963456613
"Cre08.g358150",0.0100974368143586,0.0520511599332479,0.0129372995833242,0.0414154186489191,0.0132170595711764,0.0158809272407609,0.0192908579383442,0
"Cre08.g358200",2.77434098335117,2.2722983103235,1.81184394702256,1.50257019670691,2.48147384795828,3.09571928841283,3.72209632820973,4.75305061558435
"Cre08.g358250",13.4941948184694,19.1490628354,14.3277853573561,18.8856740266648,21.6630139252908,21.8858579376243,20.6140465987936,27.908448916175
"Cre08.g358300",0.158896385866682,0.19830348442999,0.136644158930248,0.15249566659143,0.117811268847221,0.159541433707403,0.20381844905899,0.164658346112084
"Cre08.g358350",0.790338060659612,1.61106246401369,0.872288433361657,0.558073380323225,0.77372578529931,0.750522164174802,1.31668831490544,1.76789331635353
"Cre08.g358400",0.0230143840521553,0.214258368631408,0.0862704678274565,0.0461224343890978,0.128771831248103,0.0721043841339827,0.10879311083158,0.112484252206175
"Cre08.g358450",0.784070383465444,0.138581008206279,0.441400385126763,0.417863695795567,0.398688647587759,0.629070997126034,0.451022072578306,0.735646558187183
"Cre08.g358459",1.42243787056864,1.15550996558337,1.71273552775104,2.53234008144364,2.66082656726896,4.07877208600743,2.9286592014268,2.47187785691028
"Cre08.g358500",23.0044310891356,21.9773836935709,26.8514021744553,28.4783415815218,33.5958274433698,28.6103326562201,22.7527845567565,20.644307420819
"Cre08.g358650",1.24455011937408,2.13302165943345,2.96232275234531,2.48716967689958,1.87023073960734,1.88697312020287,1.52715620136361,1.62837831618941
"Cre08.g358700",0.215493178971487,0.0631225450383625,0.0785091856970591,0.0784152055903013,0.0726007845234075,0.111268645353957,0.116910506725317,0.127455224686195
"Cre08.g358751",6.62684985964735,2.14927743240243,2.74923284340239,1.809122131882,2.96080277466572,2.17168200312801,2.249328713699,2.23106656961891
"Cre08.g358800",1.7176046434432,1.64183982514655,1.31112694695191,0.751496309700839,1.23407465610503,1.2581876880121,1.32417447924449,1.77323955806243
"Cre08.g358850",18.8174641521279,12.3267497283082,13.3998253789634,12.3261005755143,12.2867750072382,12.8673421310893,11.2046717193334,14.2162432936714
"Cre08.g358900",7.36789715927633,5.65739995968436,8.77502431713735,9.96673801546595,10.265754078472,11.7804754724561,8.43354081070938,7.95581585669973
"Cre08.g358950",0.511037288809814,0.539439429621177,0.626845547883649,1.18563891521709,0.93745718846303,0.869188339941789,1.34197143809579,1.08329200655207
"Cre08.g359000",0.0104667018176832,0.015869023475435,0.00431560171728517,0,0.0191803217675796,0.00398152217244712,0.0209888811488169,0.0510933837031404
"Cre08.g359051",1.54111239003979,1.21186193883096,1.41926750915062,1.68666897397509,1.70895558746949,2.14875449508335,2.12246499196639,1.96900359539716
"Cre08.g359100",3.7784621674978,7.46817623466227,4.93769882634941,3.04234618785844,3.99684329147064,4.39248834366366,5.58873478441188,6.72005064905554
"Cre08.g359200",4.87166690094368,3.40679281015491,3.11367622708859,2.13826253138055,2.98967591597277,3.02367336199208,3.16335392925562,3.75908744152866
"Cre08.g359250",0.139890066401471,0.0293744559077973,0.0422722080061856,0.140605803566164,0.336908135479549,0.518264008589871,0.494692934166224,0.238197954675007
"Cre08.g359300",0.764698221386955,0.777855172260545,1.45464565816211,2.19032725305182,1.04487667305462,1.57820252403694,1.19332807187706,1.08181267468922
"Cre08.g359350",34.4257905286507,25.536369403139,26.5977196935901,25.1605994902315,23.1614019068271,29.2582541238996,34.5619885435235,77.5116267471487
"Cre08.g359400",0.154088760983306,0.0580885715157583,0.0281753040346202,0.237489536413726,0.149951493394381,0.243051617624452,0.202869244539314,0.166079205771667
"Cre08.g359450",2.3591546471741,3.12077282465214,2.71952626212198,2.64112387023079,3.03222162153884,3.36116500565067,3.04244672033074,3.9959417243749
"Cre08.g359500",3.47995178939487,3.07203874157757,3.39145171838921,3.79894309028943,4.30100994306548,4.52263145692603,3.89972948485662,4.24031765535271
